language_id,translation_code,translated_name
86,sl,afrikanščina
26,sl,akanščina
10,sl,albanščina
18,sl,amharščina
106,sl,angleščina
76,sl,arabščina
17,sl,armenščina
91,sl,asamščina
92,sl,azerbajdžanščina
33,sl,bambarščina
113,sl,baskovščina
20,sl,beloruščina
84,sl,bengalščina
82,sl,bolgarščina
73,sl,bosanščina
94,sl,bretonščina
75,sl,burmanščina
46,sl,češčina
21,sl,danščina
29,sl,dzonka
99,sl,esperanto
105,sl,estonščina
35,sl,evenščina
110,sl,ferščina
96,sl,finščina
101,sl,francoščina
40,sl,frizijščina
109,sl,fulščina
77,sl,galicijščina
102,sl,ganda
22,sl,grenlandščina
37,sl,grščina
89,sl,gruzinščina
28,sl,gudžaratščina
71,sl,havščina
13,sl,hebrejščina
88,sl,hindujščina
79,sl,hrvaščina
38,sl,igboščina
100,sl,indonezijščina
12,sl,irščina
45,sl,islandščina
42,sl,italijanščina
36,sl,japonščina
57,sl,jidiš
53,sl,jorubščina
72,sl,kanada
83,sl,kašmirščina
44,sl,katalonščina
24,sl,kazaščina
51,sl,kečuanščina
74,sl,kikujščina
27,sl,kirgiščina
60,sl,kitajščina
15,sl,kmerščina
87,sl,knjižna norveščina
95,sl,korejščina
32,sl,kornijščina
114,sl,laoščina
39,sl,latvijščina
103,sl,lingala
108,sl,litovščina
98,sl,luba-katanga
41,sl,luksemburščina
80,sl,madžarščina
69,sl,makedonščina
30,sl,malagaščina
67,sl,malajalamščina
14,sl,malajščina
16,sl,malteščina
78,sl,manščina
23,sl,maratščina
31,sl,mongolščina
90,sl,nemščina
85,sl,nepalščina
81,sl,nizozemščina
25,sl,norveščina
19,sl,novonorveščina
111,sl,orijščina
43,sl,oromo
97,sl,osetinščina
64,sl,pandžabščina
59,sl,paštunščina
107,sl,perzijščina
8,sl,poljščina
58,sl,portugalščina
115,sl,retoromanščina
52,sl,romunščina
120,sl,ruandščina
50,sl,rundščina
48,sl,ruščina
63,sl,sango
34,sl,sečuanska jiščina
70,sl,severna ndebelščina
4,sl,severna samijščina
66,sl,singalščina
2,sl,slovaščina
1,sl,slovenščina
56,sl,somalščina
54,sl,srbohrvaščina
62,sl,srbščina
5,sl,svahili
93,sl,škotska gelščina
65,sl,šonščina
104,sl,španščina
11,sl,švedščina
49,sl,tagalogščina
117,sl,tajščina
116,sl,tamilščina
47,sl,telugijščina
68,sl,tibetanščina
121,sl,tigrajščina
118,sl,tongščina
119,sl,turščina
6,sl,ujgurščina
61,sl,ukrajinščina
3,sl,urdujščina
7,sl,uzbeščina
112,sl,valižanščina
9,sl,vietnamščina
55,sl,zulujščina
86,sk,afrikánčina
26,sk,akančina
10,sk,albánčina
18,sk,amharčina
106,sk,angličtina
76,sk,arabčina
17,sk,arménčina
91,sk,ásamčina
92,sk,azerbajdžančina
33,sk,bambarčina
75,sk,barmčina
113,sk,baskičtina
84,sk,bengálčina
20,sk,bieloruština
73,sk,bosniačtina
94,sk,bretónčina
82,sk,bulharčina
46,sk,čeština
60,sk,čínština
21,sk,dánčina
29,sk,dzongkä
99,sk,esperanto
105,sk,estónčina
35,sk,ewe
110,sk,faerčina
96,sk,fínčina
101,sk,francúzština
109,sk,fulbčina
77,sk,galícijčina
102,sk,gandčina
37,sk,gréčtina
22,sk,grónčina
89,sk,gruzínčina
28,sk,gudžarátčina
71,sk,hauština
13,sk,hebrejčina
88,sk,hindčina
81,sk,holandčina
79,sk,chorvátčina
38,sk,igboština
100,sk,indonézština
12,sk,írčina
45,sk,islandčina
36,sk,japončina
57,sk,jidiš
53,sk,jorubčina
72,sk,kannadčina
83,sk,kašmírčina
44,sk,katalánčina
24,sk,kazaština
51,sk,kečuánčina
15,sk,khmérčina
74,sk,kikujčina
120,sk,kiňarwanda
27,sk,kirgizština
50,sk,kirundčina
95,sk,kórejčina
32,sk,kornčina
114,sk,laoština
103,sk,lingalčina
108,sk,litovčina
39,sk,lotyština
98,sk,luba-katanga
41,sk,luxemburčina
69,sk,macedónčina
80,sk,maďarčina
67,sk,malajálamčina
14,sk,malajčina
30,sk,malgaština
16,sk,maltčina
78,sk,mančina
23,sk,maráthčina
31,sk,mongolčina
90,sk,nemčina
85,sk,nepálčina
25,sk,nórčina
87,sk,nórsky bokmål
19,sk,nórsky nynorsk
43,sk,oromčina
97,sk,osetčina
64,sk,pandžábčina
59,sk,paštčina
107,sk,perzština
8,sk,poľština
58,sk,portugalčina
115,sk,rétorománčina
52,sk,rumunčina
48,sk,ruština
34,sk,s’čchuanská ioština
63,sk,sango
70,sk,severné ndebele
4,sk,severné sami
66,sk,sinhalčina
2,sk,slovenčina
1,sk,slovinčina
56,sk,somálčina
62,sk,srbčina
54,sk,srbochorvátčina
5,sk,svahilčina
93,sk,škótska gaelčina
65,sk,šončina
104,sk,španielčina
11,sk,švédčina
49,sk,tagalčina
42,sk,taliančina
116,sk,tamilčina
47,sk,telugčina
117,sk,thajčina
68,sk,tibetčina
121,sk,tigriňa
118,sk,tongčina
119,sk,turečtina
6,sk,ujgurčina
61,sk,ukrajinčina
3,sk,urdčina
111,sk,uríjčina
7,sk,uzbečtina
9,sk,vietnamčina
112,sk,waleština
40,sk,západná frízština
55,sk,zuluština
3,ur,اردو
17,ur,ارمینی
7,ur,ازبیک
105,ur,اسٹونین
42,ur,اطالوی
26,ur,اکان
38,ur,اِگبو
10,ur,البانی
18,ur,امہاری
100,ur,انڈونیثیائی
106,ur,انگریزی
43,ur,اورومو
111,ur,اورِیا
97,ur,اوسیٹک
99,ur,ایسپرانٹو
86,ur,ایفریکانز
35,ur,ایو
92,ur,آزربائیجانی
91,ur,آسامی
45,ur,آئس لینڈک
12,ur,آئیرِش
113,ur,باسکی
75,ur,برمی
94,ur,بریٹن
82,ur,بلغاری
33,ur,بمبارا
84,ur,بنگالی
73,ur,بوسنی
20,ur,بیلاروسی
58,ur,پُرتگالی
59,ur,پشتو
64,ur,پنجابی
8,ur,پولستانی
68,ur,تبتی
119,ur,ترکی
116,ur,تمل
47,ur,تیلگو
117,ur,تھائی
121,ur,ٹگرینیا
118,ur,ٹونگن
36,ur,جاپانی
89,ur,جارجی
90,ur,جرمن
46,ur,چیک
60,ur,چینی
15,ur,خمیر
81,ur,ڈچ
21,ur,ڈینش
48,ur,روسی
115,ur,رومانش
52,ur,رومینین
50,ur,رونڈی
55,ur,زولو
29,ur,ژونگکھا
63,ur,سانجو
34,ur,سچوان ای
54,ur,سربو-کروئیشین
93,ur,سکاٹ گیلِک
2,ur,سلوواک
1,ur,سلووینیائی
66,ur,سنہالا
5,ur,سواحلی
11,ur,سویڈش
70,ur,شمالی دبیل
4,ur,شمالی سامی
65,ur,شونا
62,ur,صربی
56,ur,صومالی
13,ur,عبرانی
76,ur,عربی
107,ur,فارسی
101,ur,فرانسیسی
110,ur,فیروئیز
96,ur,فینیش
24,ur,قزاخ
79,ur,کراتی
27,ur,کرغیزی
83,ur,کشمیری
72,ur,کنّاڈا
32,ur,کورنش
95,ur,کوریائی
51,ur,کویچوآ
44,ur,کیٹالان
74,ur,کیکویو
120,ur,کینیاروانڈا
77,ur,گالیشیائی
28,ur,گجراتی
102,ur,گینڈا
114,ur,لاؤ
98,ur,لبا-كاتانجا
108,ur,لتھُواینین
41,ur,لگژمبرگش
103,ur,لِنگَلا
39,ur,لیٹوین
67,ur,مالایالم
14,ur,مالائی
16,ur,مالٹی
23,ur,مراٹهی
40,ur,مغربی فریسیئن
69,ur,مقدونیائی
30,ur,ملاگاسی
31,ur,منگؤلی
78,ur,مینکس
25,ur,نارویجین
87,ur,نارویجین بوکمل
19,ur,نورویجینی نینورسک
85,ur,نیپالی
9,ur,ویتنامی
112,ur,ویلش
104,ur,ہسپانوی
88,ur,ہندی
80,ur,ہنگیرین
71,ur,ہؤسا
57,ur,یدش
53,ur,یوروبا
61,ur,یوکرینیائی
37,ur,یونانی
6,ur,یوئگہر
22,ur,كالاليست
109,ur,Fulah
49,ur,Tagalog
86,se,afrikánsagiella
26,se,Akan
10,se,albánagiella
18,se,Amharic
76,se,arábagiella
17,se,armeenagiella
91,se,Assamese
92,se,Azerbaijani
33,se,Bambara
113,se,Basque
84,se,bengalgiella
73,se,bosniagiella
94,se,bretonagiella
82,se,bulgáriagiella
75,se,burmagiella
46,se,čeahkagiella
4,se,davvisámegiella
21,se,dánskkagiella
25,se,dárogiella
90,se,duiskkagiella
119,se,durkagiella
29,se,dzongkhagiella
106,se,eaŋgalsgiella
99,se,Esperanto
105,se,esttegiella
35,se,Ewe
110,se,fearagiella
101,se,fránskkagiella
109,se,Fulah
77,se,Galician
102,se,Ganda
89,se,georgiagiella
87,se,girjedárogiella
37,se,greikkagiella
28,se,gujaratagiella
71,se,haussagiella
13,se,Hebrew
88,se,hindigiella
81,se,hollánddagiella
38,se,Igbo
12,se,iirragiella
100,se,indonesiagiella
45,se,islánddagiella
42,se,itáliagiella
36,se,japánagiella
22,se,Kalaallisut
15,se,kambodiagiella
72,se,Kannada
83,se,Kashmiri
44,se,katalánagiella
24,se,kazakgiella
60,se,kiinnágiella
74,se,Kikuyu
120,se,Kinyarwanda
95,se,koreagiella
32,se,kornagiella
79,se,kroátiagiella
112,se,kymragiella
27,se,Kyrgyz
114,se,laogiella
39,se,látviagiella
108,se,liettuvagiella
103,se,Lingala
98,se,Luba-Katanga
41,se,luxemburggagiella
69,se,makedoniagiella
30,se,Malagasy
14,se,Malay
67,se,Malayalam
16,se,maltagiella
78,se,manksgiella
23,se,Marathi
31,se,mongoliagiella
85,se,nepaligiella
70,se,North Ndebele
40,se,oarjifriisagiella
19,se,ođđadárogiella
111,se,Oriya
43,se,Oromo
97,se,Ossetic
64,se,panjabigiella
59,se,Pashto
107,se,persijagiella
8,se,polskkagiella
58,se,portugálagiella
51,se,Quechua
115,se,romanšgiella
52,se,romániagiella
50,se,Rundi
48,se,ruoššagiella
11,se,ruoŧagiella
63,se,Sango
93,se,Scottish Gaelic
62,se,serbiagiella
54,se,serbokroatiagiella
65,se,Shona
34,se,Sichuan Yi
66,se,Sinhala
2,se,slovákiagiella
1,se,slovenagiella
56,se,Somali
104,se,spánskkagiella
96,se,suomagiella
5,se,Swahili
49,se,Tagalog
116,se,Tamil
47,se,Telugu
68,se,tibetagiella
121,se,Tigrinya
118,se,Tongan
117,se,ŧaigiella
61,se,ukrainagiella
80,se,ungárgiella
3,se,urdugiella
6,se,Uyghur
7,se,Uzbek
9,se,vietnamgiella
20,se,vilges-ruoššagiella
57,se,Yiddish
53,se,Yoruba
55,se,Zulu
109,sw,Fulah
86,sw,Kiafrikana
45,sw,Kiaisilandi
107,sw,Kiajemi
26,sw,Kiakani
10,sw,Kialbania
18,sw,Kiamhari
76,sw,Kiarabu
17,sw,Kiarmenia
91,sw,Kiassam
12,sw,Kiayalandi
92,sw,Kiazabajani
33,sw,Kibambara
113,sw,Kibasque
20,sw,Kibelarusi
84,sw,Kibengali
87,sw,Kibokmal cha Norwe
73,sw,Kibosnia
94,sw,Kibretoni
82,sw,Kibulgaria
75,sw,Kiburma
46,sw,Kicheki
60,sw,Kichina
21,sw,Kidenmaki
13,sw,Kiebrania
99,sw,Kiesperanto
105,sw,Kiestonia
35,sw,Kiewe
101,sw,Kifaransa
110,sw,Kifaroe
96,sw,Kifinlandi
40,sw,Kifrisia cha Magharibi
93,sw,Kigaeli cha Uskoti
77,sw,Kigalisi
102,sw,Kiganda
37,sw,Kigiriki
28,sw,Kigujarati
71,sw,Kihausa
88,sw,Kihindi
104,sw,Kihispania
81,sw,Kiholanzi
80,sw,Kihungari
38,sw,Kiigbo
100,sw,Kiindonesia
106,sw,Kiingereza
42,sw,Kiitaliano
36,sw,Kijapani
90,sw,Kijerumani
89,sw,Kijojia
22,sw,Kikalaallisut
15,sw,Kikambodia
72,sw,Kikannada
83,sw,Kikashmiri
44,sw,Kikatalani
24,sw,Kikazaki
74,sw,Kikikuyu
27,sw,Kikirigizi
95,sw,Kikorea
32,sw,Kikorni
114,sw,Kilaosi
41,sw,Kilasembagi
39,sw,Kilatvia
103,sw,Kilingala
108,sw,Kilithuania
98,sw,Kiluba-Katanga
67,sw,Kimalayalam
14,sw,Kimalesia
16,sw,Kimalta
78,sw,Kimanx
23,sw,Kimarathi
69,sw,Kimasedonia
31,sw,Kimongolia
70,sw,Kindebele cha Kaskazini
85,sw,Kinepali
19,sw,Kinorwe Kipya
120,sw,Kinyarwanda
111,sw,Kioriya
43,sw,Kioromo
97,sw,Kiosetia
59,sw,Kipashto
8,sw,Kipolandi
64,sw,Kipunjabi
51,sw,Kiquechua
58,sw,Kireno
52,sw,Kiromania
115,sw,Kiromanshi
50,sw,Kirundi
48,sw,Kirusi
4,sw,Kisami cha Kaskazini
63,sw,Kisango
62,sw,Kiserbia
65,sw,Kishona
66,sw,Kisinhala
2,sw,Kislovakia
1,sw,Kislovenia
56,sw,Kisomali
5,sw,Kiswahili
11,sw,Kiswidi
117,sw,Kitailandi
116,sw,Kitamil
47,sw,Kitelugu
68,sw,Kitibeti
121,sw,Kitigrinya
118,sw,Kitonga
119,sw,Kituruki
6,sw,Kiuiguri
61,sw,Kiukrania
3,sw,Kiurdu
7,sw,Kiuzbeki
9,sw,Kivietinamu
112,sw,Kiwelisi
57,sw,Kiyidi
53,sw,Kiyoruba
29,sw,Kizongkha
55,sw,Kizulu
79,sw,Kroeshia
30,sw,Malagasi
25,sw,Norwegian
54,sw,Serbo-Croatian
34,sw,Sichuan Yi
49,sw,Tagalog
91,ug,ئاسسامچە
86,ug,ئافرىكانچە
26,ug,ئاكانچە
10,ug,ئالبانچە
18,ug,ئامخاراچە
76,ug,ئەرەبچە
17,ug,ئەرمەنچە
92,ug,ئەزەرىچە
3,ug,ئوردوچە
43,ug,ئوروموچە
111,ug,ئورىياچە
97,ug,ئوسسېتچەچە
61,ug,ئۇكرائىنچە
6,ug,ئۇيغۇرچە
7,ug,ئۆزبېكچە
105,ug,ئېستونچە
35,ug,ئېۋېچە
13,ug,ئىبرانىچە
38,ug,ئىبوچە
42,ug,ئىتاليانچە
12,ug,ئىرېلاندچە
104,ug,ئىسپانچە
45,ug,ئىسلاندچە
106,ug,ئىنگلىزچە
113,ug,باسكىچە
33,ug,بامباراچە
73,ug,بوسنىيەچە
29,ug,بۇتانچە
82,ug,بۇلغارچە
20,ug,بېلارۇسچە
84,ug,بېنگالچە
75,ug,بىرماچە
94,ug,بىرېتونچە
107,ug,پارسچە
64,ug,پەنجابچە
58,ug,پورتۇگالچە
8,ug,پولەكچە
