code,name,chatgpt_supported
sl,slovenščina,1
sk,slovenčina,1
ur,اردو,1
se,davvisámegiella,0
sw,Kiswahili,1
ug,ئۇيغۇرچە,1
uz,oʻzbekcha,1
pl,polski,1
vi,Tiếng Việt,1
sq,shqip,1
sv,svenska,1
ga,Gaeilge,1
he,עברית,1
ms,Bahasa Melayu,1
km,ខ្មែរ,1
mt,Malti,1
hy,հայերեն,1
am,አማርኛ,1
nn,nynorsk,0
be,беларуская,1
da,dansk,1
kl,kalaallisut,0
mr,मराठी,1
kk,қазақ тілі,1
no,norsk,1
ak,Akan,0
ky,кыргызча,1
gu,ગુજરાતી,1
dz,རྫོང་ཁ,0
mg,Malagasy,1
mn,монгол,1
kw,kernewek,0
bm,bamanakan,0
ii,ꆈꌠꉙ,0
ee,eʋegbe,0
ja,日本語,1
el,Ελληνικά,1
ig,Igbo,1
lv,latviešu,1
fy,West-Frysk,0
lb,Lëtzebuergesch,1
it,italiano,1
om,Oromoo,0
ca,català,1
is,íslenska,1
cs,čeština,1
te,తెలుగు,1
ru,русский,1
tl,Tagalog,1
rn,Ikirundi,0
qu,Runasimi,0
ro,română,1
yo,Èdè Yorùbá,1
sh,Srpskohrvatski,0
zu,isiZulu,1
so,Soomaali,1
yi,ייִדיש,1
pt,português,1
ps,پښتو,1
zh,中文,1
uk,українська,1
sr,српски,1
sg,Sängö,0
pa,ਪੰਜਾਬੀ,1
sn,chiShona,1
si,සිංහල,1
ml,മലയാളം,1
bo,བོད་སྐད་,0
mk,македонски,1
nd,isiNdebele,0
ha,Hausa,1
kn,ಕನ್ನಡ,1
bs,bosanski,1
ki,Gikuyu,0
my,ဗမာ,1
ar,العربية,1
gl,galego,1
gv,Gaelg,0
hr,hrvatski,1
hu,magyar,1
nl,Nederlands,1
bg,български,1
ks,کٲشُر,0
bn,বাংলা,1
ne,नेपाली,1
af,Afrikaans,1
nb,norsk bokmål,0
hi,हिन्दी,1
ka,ქართული,1
de,Deutsch,1
as,অসমীয়া,0
az,azərbaycan,1
gd,Gàidhlig,0
br,brezhoneg,0
ko,한국어,1
fi,suomi,1
os,ирон,0
lu,Tshiluba,0
eo,esperanto,1
id,Bahasa Indonesia,1
fr,français,1
lg,Luganda,0
ln,lingála,0
es,español,1
et,eesti,1
en,English,1
fa,فارسی,1
lt,lietuvių,1
ff,Pulaar,0
fo,føroyskt,0
or,ଓଡ଼ିଆ,0
cy,Cymraeg,1
eu,euskara,1
lo,ລາວ,1
rm,rumantsch,0
ta,தமிழ்,1
th,ไทย,1
to,lea fakatonga,0
tr,Türkçe,1
rw,Kinyarwanda,1
ti,ትግርኛ,0
